code	display_name
417454003	Non-motile Salmonella (organism)
302702005	Salmonella 1,13,23:g,m,s,t:1,5 (organism)
302700002	Salmonella 13,22:a:e,n,x (organism)
398537000	Salmonella 3,10:R1,z40:1,7 (organism)
114638004	Salmonella Aachen (organism)
90712007	Salmonella Aarhus (organism)
5937000	Salmonella Abadina (organism)
74936002	Salmonella Abidjan (organism)
48578002	Salmonella Ablogame (organism)
64539001	Salmonella Abobo (organism)
51488004	Salmonella Abortusequi (organism)
83318007	Salmonella Abortusovis (organism)
114323006	Salmonella Abuja (organism)
50113001	Salmonella Accra (organism)
114602006	Salmonella Ackwepe (organism)
112301008	Salmonella Adabraka (organism)
38130005	Salmonella Adamstown (organism)
27987009	Salmonella Adamstua (organism)
7717005	Salmonella Adana (organism)
71121000	Salmonella Adeoyo (organism)
9004006	Salmonella Aderike (organism)
85398008	Salmonella Adime (organism)
3540008	Salmonella Aequatoria (organism)
2007003	Salmonella Aesch (organism)
56428001	Salmonella Aflao (organism)
57116007	Salmonella Africana (organism)
27543005	Salmonella Afula (organism)
114402001	Salmonella Agbara (organism)
59827003	Salmonella Agege (organism)
57255003	Salmonella Ago (organism)
48652000	Salmonella Agodi (organism)
8052008	Salmonella Agoueve (organism)
13679006	Salmonella Ahanou (organism)
19118002	Salmonella Ahepe (organism)
114787006	Salmonella Ahoutoue (organism)
48584004	Salmonella Akanji (organism)
50823007	Salmonella Akuafo (organism)
49721001	Salmonella Alabama (organism)
50111004	Salmonella Alagbon (organism)
10112007	Salmonella Alamo (organism)
81265007	Salmonella Albuquerque (organism)
67646007	Salmonella Alexanderplatz (organism)
68452003	Salmonella Alexanderpolder (organism)
38358008	Salmonella Alfort (organism)
50785006	Salmonella Alger (organism)
114298008	Salmonella Alkmaar (organism)
9433002	Salmonella Allandale (organism)
38762004	Salmonella Allerton (organism)
114729007	Salmonella Alma (organism)
89556001	Salmonella Alminko (organism)
114284000	Salmonella Amager var 15+ (organism)
312000	Salmonella Amba (organism)
114534008	Salmonella Amersfoort var 14+ (organism)
77842008	Salmonella Amherstiana (organism)
75343005	Salmonella Aminatu (organism)
114277008	Salmonella Amsterdam var. 15+ (organism)
12662006	Salmonella Amunigun (organism)
114274001	Salmonella Anatum var 15+ (organism)
114290001	Salmonella Anatum var 15+, 34+ (organism)
87906009	Salmonella Anderlecht (organism)
79905007	Salmonella Anecho (organism)
86397006	Salmonella Anfo (organism)
3567002	Salmonella Angers (organism)
23032006	Salmonella Angoda (organism)
83254009	Salmonella Angouleme (organism)
69252007	Salmonella Ank (organism)
40216007	Salmonella Anna (organism)
21838002	Salmonella Annedal (organism)
88085005	Salmonella Antarctica (organism)
77787000	Salmonella Antonio (organism)
71520006	Salmonella Antsalova (organism)
89368009	Salmonella Antwerpen (organism)
114860003	Salmonella Aprad (organism)
1037005	Salmonella Aragua (organism)
114386000	Salmonella Arapahoe (organism)
69053008	Salmonella Ardwick (organism)
114824008	Salmonella Arusha (organism)
18578007	Salmonella Ashanti (organism)
56929002	Salmonella Assen (organism)
49603005	Salmonella Assinie (organism)
116059005	Salmonella Asylanta (organism)
76354007	Salmonella Atakpame (organism)
361397004	Salmonella Atento (organism)
30892003	Salmonella Athinai (organism)
114322001	Salmonella Ati (organism)
16158001	Salmonella Austin (organism)
114889001	Salmonella Australia (organism)
26080001	Salmonella Avignon (organism)
35647006	Salmonella Avonmouth (organism)
30362003	Salmonella Ayinde (organism)
34256000	Salmonella Ayton (organism)
5610000	Salmonella Azteca (organism)
19368001	Salmonella Babelsberg (organism)
114414009	Salmonella Badgary (organism)
404317006	Salmonella Baguida (organism)
80728004	Salmonella Baguirmi (organism)
53308007	Salmonella Bahati (organism)
43575001	Salmonella Bahrenfeld (organism)
62308000	Salmonella Baiboukoum (organism)
42485005	Salmonella Bakau (organism)
81490006	Salmonella Balcones (organism)
85047006	Salmonella Balili (organism)
83148002	Salmonella Bama (organism)
15549007	Salmonella Bamboye (organism)
27353005	Salmonella Bambylor (organism)
51210001	Salmonella Banalia (organism)
15288005	Salmonella Banco (organism)
12470005	Salmonella Bandia (organism)
